id,color,weight,rating,price
1,1,83.19,2,32.82
2,4,70.15,2,47.63
3,5,90.94,1,4.81
4,3,98.97,1,40.37
5,6,88.45,3,22.35
6,8,48.42,4,11.91
7,4,51.26,1,7.89
8,6,49.05,3,13.98
9,2,33.49,3,18.07
10,1,57.15,4,45.1
11,5,51.49,1,38.0
12,8,49.41,2,39.41
13,6,69.13,5,23.72
14,1,15.34,1,16.78
15,7,19.54,1,39.55
16,6,17.7,1,39.98
17,1,12.75,2,28.52
18,1,56.68,4,29.85
19,3,55.5,3,19.04
20,2,89.83,3,8.53
21,7,77.57,4,17.11
22,9,42.28,2,35.43
23,7,21.19,5,15.42
24,4,2.43,5,24.23
25,8,34.89,4,48.09
26,3,54.54,3,47.69
27,1,93.53,3,6.33
28,10,98.3,2,39.38
29,10,87.1,2,35.64
30,3,75.25,5,3.37
31,4,2.52,1,3.68
32,3,30.82,5,48.29
33,6,9.26,4,2.09
34,7,83.07,5,4.91
35,8,37.78,5,5.01
36,8,99.18,3,11.91
37,6,49.74,4,36.97
38,3,14.36,4,16.53
39,2,74.64,2,6.68
40,7,38.83,2,11.97
41,7,83.06,1,4.05
42,2,55.45,2,46.52
43,9,14.68,4,44.22
44,10,80.47,1,24.52
45,6,86.88,5,34.27
46,7,70.56,4,6.38
47,9,12.67,4,31.18
48,6,99.0,3,19.21
49,6,79.76,4,2.81
50,7,96.98,4,20.89
51,3,66.77,5,10.43
52,5,37.74,1,11.27
53,10,39.97,2,38.2
54,8,89.09,1,46.06
55,2,78.96,3,26.67
56,2,54.66,1,34.92
57,2,29.41,1,31.82
58,4,58.46,3,22.28
59,5,91.78,5,4.47
60,3,81.78,3,15.72
61,1,6.8,1,7.37
62,2,66.14,2,33.88
63,4,65.81,3,7.4
64,10,81.17,3,7.93
65,1,25.45,4,27.75
66,8,28.47,2,3.14
67,9,71.19,3,9.32
68,5,82.72,3,25.28
69,8,28.91,2,24.56
70,5,10.16,1,30.39
71,6,21.39,3,33.05
72,7,45.86,3,15.51
73,4,61.55,3,10.52
74,9,18.81,1,38.47
75,4,51.05,2,40.37
76,5,94.02,1,28.63
